date,bitcoin_hack,bitcoin_search,bitcoin
2011/1/2,0,0,0
2011/1/9,0,0,0
2011/1/16,0,0,0
2011/1/23,0,0,0
2011/1/30,0,0,0
2011/2/6,0,0,0
2011/2/13,0,0,0
2011/2/20,0,0,0
2011/2/27,0,0,0
2011/3/6,0,0,0
2011/3/13,1,0,0
2011/3/20,0,0,0
2011/3/27,0,0,0
2011/4/3,0,0,0
2011/4/10,0,0,0
2011/4/17,0,0,0
2011/4/24,0,1,0
2011/5/1,0,1,0
2011/5/8,0,1,0
2011/5/15,1,1,1
2011/5/22,0,1,0
2011/5/29,1,2,0.5
2011/6/5,1,2,0.5
2011/6/12,2,2,1
2011/6/19,2,2,1
2011/6/26,3,1,3
2011/7/3,1,1,1
2011/7/10,1,1,1
2011/7/17,0,1,0
2011/7/24,1,1,1
2011/7/31,2,1,2
2011/8/7,1,1,1
2011/8/14,0,1,0
2011/8/21,2,1,2
2011/8/28,0,1,0
2011/9/4,0,1,0
2011/9/11,1,1,1
2011/9/18,1,1,1
2011/9/25,0,1,0
2011/10/2,1,1,1
2011/10/9,1,1,1
2011/10/16,0,1,0
2011/10/23,1,1,1
2011/10/30,0,1,0
2011/11/6,1,1,1
2011/11/13,0,1,0
2011/11/20,0,1,0
2011/11/27,1,1,1
2011/12/4,0,1,0
2011/12/11,1,1,1
2011/12/18,0,1,0
2011/12/25,0,1,0
2012/1/1,0,1,0
2012/1/8,0,1,0
2012/1/15,0,1,0
2012/1/22,2,1,2
2012/1/29,1,1,1
2012/2/5,1,1,1
2012/2/12,1,1,1
2012/2/19,1,1,1
2012/2/26,0,1,0
2012/3/4,1,1,1
2012/3/11,1,1,1
2012/3/18,0,1,0
2012/3/25,0,1,0
2012/4/1,1,1,1
2012/4/8,0,1,0
2012/4/15,0,1,0
2012/4/22,1,1,1
2012/4/29,1,1,1
2012/5/6,1,1,1
2012/5/13,2,1,2
2012/5/20,0,1,0
2012/5/27,1,1,1
2012/6/3,0,1,0
2012/6/10,0,1,0
2012/6/17,0,1,0
2012/6/24,0,1,0
2012/7/1,1,1,1
2012/7/8,1,1,1
2012/7/15,1,1,1
2012/7/22,1,1,1
2012/7/29,2,1,2
2012/8/5,2,1,2
2012/8/12,0,1,0
2012/8/19,1,1,1
2012/8/26,1,1,1
2012/9/2,1,1,1
2012/9/9,1,1,1
2012/9/16,1,1,1
2012/9/23,2,1,2
2012/9/30,1,1,1
2012/10/7,1,1,1
2012/10/14,1,1,1
2012/10/21,0,1,0
2012/10/28,2,1,2
2012/11/4,0,1,0
2012/11/11,1,1,1
2012/11/18,1,1,1
2012/11/25,1,1,1
2012/12/2,2,1,2
2012/12/9,2,1,2
2012/12/16,1,1,1
2012/12/23,1,1,1
2012/12/30,1,1,1
2013/1/6,2,1,2
2013/1/13,1,1,1
2013/1/20,0,1,0
2013/1/27,1,1,1
2013/2/3,1,1,1
2013/2/10,3,1,3
2013/2/17,1,1,1
2013/2/24,2,1,2
2013/3/3,1,1,1
2013/3/10,2,1,2
2013/3/17,2,2,1
2013/3/24,3,3,1
2013/3/31,5,6,0.833333333
2013/4/7,6,11,0.545454545
2013/4/14,5,6,0.833333333
2013/4/21,3,3,1
2013/4/28,5,3,1.666666667
2013/5/5,4,2,2
2013/5/12,4,2,2
2013/5/19,2,2,1
2013/5/26,1,2,0.5
2013/6/2,5,2,2.5
2013/6/9,1,2,0.5
2013/6/16,0,1,0
2013/6/23,2,2,1
2013/6/30,2,2,1
2013/7/7,2,1,2
2013/7/14,1,1,1
2013/7/21,3,1,3
2013/7/28,2,1,2
2013/8/4,2,1,2
2013/8/11,4,2,2
2013/8/18,1,2,0.5
2013/8/25,2,2,1
2013/9/1,5,1,5
2013/9/8,1,1,1
2013/9/15,1,1,1
2013/9/22,3,1,3
2013/9/29,1,2,0.5
2013/10/6,3,2,1.5
2013/10/13,2,2,1
2013/10/20,3,2,1.5
2013/10/27,5,5,1
2013/11/3,4,5,0.8
2013/11/10,5,5,1
2013/11/17,7,12,0.583333333
2013/11/24,12,14,0.857142857
2013/12/1,8,14,0.571428571
2013/12/8,8,10,0.8
2013/12/15,9,10,0.9
2013/12/22,11,7,1.571428571
2013/12/29,6,6,1
2014/1/5,8,7,1.142857143
2014/1/12,8,6,1.333333333
2014/1/19,11,6,1.833333333
2014/1/26,4,7,0.571428571
2014/2/2,6,6,1
2014/2/9,12,7,1.714285714
2014/2/16,9,6,1.5
2014/2/23,12,10,1.2
2014/3/2,8,9,0.888888889
2014/3/9,8,5,1.6
2014/3/16,5,4,1.25
2014/3/23,6,4,1.5
2014/3/30,6,3,2
2014/4/6,3,3,1
2014/4/13,4,3,1.333333333
2014/4/20,7,3,2.333333333
2014/4/27,3,3,1
2014/5/4,3,2,1.5
2014/5/11,3,2,1.5
2014/5/18,3,2,1.5
2014/5/25,5,3,1.666666667
2014/6/1,2,3,0.666666667
2014/6/8,3,3,1
2014/6/15,4,3,1.333333333
2014/6/22,4,2,2
2014/6/29,2,2,1
2014/7/6,3,2,1.5
2014/7/13,5,2,2.5
2014/7/20,6,2,3
2014/7/27,2,2,1
2014/8/3,6,2,3
2014/8/10,5,3,1.666666667
2014/8/17,6,3,2
2014/8/24,6,2,3
2014/8/31,9,2,4.5
2014/9/7,10,3,3.333333333
2014/9/14,4,2,2
2014/9/21,7,2,3.5
2014/9/28,3,2,1.5
2014/10/5,5,3,1.666666667
2014/10/12,5,2,2.5
2014/10/19,5,2,2.5
2014/10/26,6,2,3
2014/11/2,6,2,3
2014/11/9,12,3,4
2014/11/16,10,2,5
2014/11/23,10,2,5
2014/11/30,8,2,4
2014/12/7,4,2,2
2014/12/14,7,2,3.5
2014/12/21,8,3,2.666666667
2014/12/28,8,2,4
2015/1/4,10,3,3.333333333
2015/1/11,8,3,2.666666667
2015/1/18,5,2,2.5
2015/1/25,3,2,1.5
2015/2/1,8,2,4
2015/2/8,5,2,2.5
2015/2/15,8,2,4
2015/2/22,5,2,2.5
2015/3/1,8,2,4
2015/3/8,4,2,2
2015/3/15,7,2,3.5
2015/3/22,6,2,3
2015/3/29,5,2,2.5
2015/4/5,5,2,2.5
2015/4/12,7,2,3.5
2015/4/19,9,2,4.5
2015/4/26,5,2,2.5
2015/5/3,6,2,3
2015/5/10,7,2,3.5
2015/5/17,7,2,3.5
2015/5/24,6,2,3
2015/5/31,6,2,3
2015/6/7,6,2,3
2015/6/14,4,2,2
2015/6/21,7,2,3.5
2015/6/28,5,2,2.5
2015/7/5,7,3,2.333333333
2015/7/12,5,2,2.5
2015/7/19,6,2,3
2015/7/26,4,2,2
2015/8/2,7,2,3.5
2015/8/9,9,2,4.5
2015/8/16,9,2,4.5
2015/8/23,8,2,4
2015/8/30,6,2,3
2015/9/6,8,2,4
2015/9/13,9,2,4.5
2015/9/20,10,2,5
2015/9/27,8,2,4
2015/10/4,6,2,3
2015/10/11,8,2,4
2015/10/18,5,2,2.5
2015/10/25,6,3,2
2015/11/1,6,4,1.5
2015/11/8,7,3,2.333333333
2015/11/15,4,3,1.333333333
2015/11/22,6,2,3
2015/11/29,6,2,3
2015/12/6,7,4,1.75
2015/12/13,12,3,4
2015/12/20,8,3,2.666666667
2015/12/27,7,2,3.5
2016/1/3,8,3,2.666666667
2016/1/10,8,3,2.666666667
2016/1/17,9,3,3
2016/1/24,9,2,4.5
2016/1/31,6,2,3
2016/2/7,8,2,4
2016/2/14,5,3,1.666666667
2016/2/21,7,2,3.5
2016/2/28,6,2,3
2016/3/6,7,2,3.5
2016/3/13,6,2,3
2016/3/20,8,2,4
2016/3/27,7,2,3.5
2016/4/3,7,2,3.5
2016/4/10,5,2,2.5
2016/4/17,9,2,4.5
2016/4/24,6,3,2
2016/5/1,8,4,2
2016/5/8,9,3,3
2016/5/15,8,2,4
2016/5/22,5,3,1.666666667
2016/5/29,5,3,1.666666667
2016/6/5,7,3,2.333333333
2016/6/12,5,4,1.25
2016/6/19,8,4,2
2016/6/26,12,3,4
2016/7/3,7,3,2.333333333
2016/7/10,9,3,3
2016/7/17,7,3,2.333333333
2016/7/24,7,3,2.333333333
2016/7/31,26,4,6.5
2016/8/7,11,3,3.666666667
2016/8/14,11,2,5.5
2016/8/21,9,2,4.5
2016/8/28,10,2,5
2016/9/4,9,3,3
2016/9/11,9,3,3
2016/9/18,9,2,4.5
2016/9/25,7,2,3.5
2016/10/2,10,2,5
2016/10/9,8,3,2.666666667
2016/10/16,8,3,2.666666667
2016/10/23,8,3,2.666666667
2016/10/30,9,3,3
2016/11/6,11,3,3.666666667
2016/11/13,6,3,2
2016/11/20,10,3,3.333333333
2016/11/27,10,3,3.333333333
2016/12/4,10,3,3.333333333
2016/12/11,7,3,2.333333333
2016/12/18,10,4,2.5
2016/12/25,10,5,2
2017/1/1,16,7,2.285714286
2017/1/8,17,6,2.833333333
2017/1/15,13,4,3.25
2017/1/22,13,4,3.25
2017/1/29,13,4,3.25
2017/2/5,10,5,2
2017/2/12,16,4,4
2017/2/19,10,5,2
2017/2/26,15,6,2.5
2017/3/5,18,7,2.571428571
2017/3/12,8,6,1.333333333
2017/3/19,12,6,2
2017/3/26,11,5,2.2
2017/4/2,10,5,2
2017/4/9,10,5,2
2017/4/16,10,5,2
2017/4/23,11,5,2.2
2017/4/30,9,7,1.285714286
2017/5/7,16,10,1.6
2017/5/14,21,11,1.909090909
2017/5/21,19,20,0.95
2017/5/28,14,13,1.076923077
2017/6/4,15,12,1.25
2017/6/11,18,13,1.384615385
2017/6/18,14,11,1.272727273
2017/6/25,14,11,1.272727273
2017/7/2,17,9,1.888888889
2017/7/9,9,10,0.9
2017/7/16,17,12,1.416666667
2017/7/23,15,11,1.363636364
2017/7/30,16,15,1.066666667
2017/8/6,16,14,1.142857143
2017/8/13,18,20,0.9
2017/8/20,20,16,1.25
2017/8/27,20,17,1.176470588
2017/9/3,17,18,0.944444444
2017/9/10,16,21,0.761904762
2017/9/17,16,16,1
2017/9/24,18,13,1.384615385
2017/10/1,12,13,0.923076923
